id,genre
33093058,0
2388517,0
31013021,0
34801938,0
4061054,0
33979590,0
3942835,0
3123556,0
493241,0
33397552,0
35776766,0
3782294,0
2334777,0
433740,0
5408155,0
5512473,0
37655,0
35612661,0
33976424,0
1844723,0
1805223,0
3737283,0
4355031,0
7859891,0
33359320,0
3717644,0
30329330,0
33501848,0
30875932,0
1144227,0
79736,0
5681259,0
2097548,0
35960283,0
32115576,0
35733405,0
4510713,0
1727594,0
430495,0
892387,0
33133980,0
1873101,0
31341522,0
512114,0
31503407,0
1846796,0
81131,0
33136953,0
59873,0
8217164,0
32874029,0
3547870,0
4807305,0
4033065,0
33502365,0
1945479,0
432823,0
32034248,0
3016181,0
30576479,0
35846945,0
2645484,0
1966954,0
33993304,0
2606540,0
32471821,0
2245553,0
31317175,0
3861544,0
34401606,0
35868660,0
3987626,0
35944234,0
31349711,0
5473114,0
34183061,0
36078780,0
4800325,0
1571217,0
3628519,0
7924218,0
39130,0
1668839,0
1625802,0
34513929,0
31079172,0
502669,0
1591685,0
34144033,0
36034341,0
1415489,0
2947007,0
34635662,0
4372606,0
1733154,0
35980047,0
2064511,0
34153242,0
32854316,0
1121097,0
35363582,0
33133090,0
8213794,0
36046189,0
2925865,0
1654866,0
1597534,0
32465471,0
1958149,0
32789964,0
3513410,0
33522261,0
1944531,0
2724404,0
34548562,0
31329730,0
4639335,0
32248030,0
426305,0
4280932,0
981153,0
2017254,0
35826518,0
7894332,0
3457275,0
34755530,0
33383470,0
403053,0
32523394,0
31688898,0
7949018,0
31448976,0
33179162,0
31797449,0
32376871,0
1713701,0
2144575,0
8068879,0
31866408,0
623128,0
31165930,0
3641194,0
30571175,0
1371291,0
314435,0
4706178,0
33810391,0
1476304,0
32744203,0
316789,0
30876307,0
35903913,0
31701434,0
622745,0
12040,0
34808768,0
1883644,0
987966,0
32931350,0
4322523,0
3607859,0
30206063,0
32781535,0
518610,0
2677290,0
1752765,0
1967099,0
2517629,0
538127,0
32377902,0
35485292,0
847269,0
28137,0
36106330,0
362171,0
30921325,0
1119831,0
527122,0
1531466,0
3962855,0
30905857,0
32807317,0
33062421,0
31548393,0
31322861,0
3026161,0
418257,0
875597,0
30816744,0
35617616,0
4136453,0
103871,0
432433,0
7869029,0
4071270,0
9627616,0
2998367,0
309603,0
35763747,0
36102915,0
34481137,0
1632692,0
1417772,0
5643998,0
533459,0
844273,0
4209693,0
32524097,0
2670150,0
35729106,0
419114,0
3611229,0
35848751,0
1373305,0
31668496,0
31966649,0
30970376,0
5211562,0
1734818,0
4478183,0
69002,0
90327,0
36108949,0
1529707,0
30241567,0
62617,0
32232695,0
492797,0
3617028,0
39037,0
34015795,0
33391713,0
1016831,0
33261024,0
1053579,0
31690901,0
1468957,0
30784116,0
1541413,0
35954533,0
35779182,0
847985,0
2937988,0
541449,0
35507061,0
30121891,0
30117857,0
275708,0
2728707,0
1266822,0
32695972,0
31562511,0
3546214,0
3580973,0
3853557,0
48223,0
33091608,0
836093,0
36071965,0
1872953,0
4756412,0
32587661,0
30794612,0
31803782,0
1774394,0
32808616,0
775137,0
38629,0
31367412,0
35754710,0
473136,0
30857318,0
90395,0
33609558,0
35100532,0
4197950,0
3995061,0
1500203,0
31004742,0
4503812,0
4136549,0
33302946,0
32544703,0
3944644,0
32056218,0
33259829,0
493235,0
31172278,0
31754369,0
5473112,0
30880667,0
30002079,0
34001805,0
1139376,0
5515510,0
1698085,0
34798738,0
35504734,0
318006,0
1673142,0
900582,0
32827688,0
32808352,0
30525591,0
1266830,0
447868,0
2710507,0
1872982,0
3591938,0
414608,0
30769470,0
33180622,0
30478311,0
35925671,0
60111,0
4305223,0
1785481,0
33743378,0
30714008,0
430985,0
8057052,0
2355658,0
52877,0
2272481,0
3598820,0
5379967,0
3403996,0
3689795,0
5378390,0
3602425,0
1923595,0
34180107,0
33232115,0
167139,0
31062862,0
36078578,0
31456103,0
34209243,0
31874564,0
3737168,0
81090,0
3827567,0
1713714,0
4252726,0
1714272,0
2140855,0
2616118,0
1723551,0
31252937,0
642843,0
2108218,0
32701615,0
38497,0
3985471,0
33273187,0
531337,0
1541337,0
358278,0
31737213,0
4804172,0
1268919,0
3837687,0
65850,0
34011260,0
623077,0
31291591,0
32155015,0
32091438,0
1099089,0
1713703,0
32827680,0
2113077,0
31627718,0
844275,0
525689,0
3484864,0
2939085,0
30367486,0
2626712,0
25849,0
