id,genre
33093058,2
2388517,4
31013021,16
34801938,0
4061054,4
33979590,0
3942835,2
3123556,0
493241,4
33397552,1
35776766,0
3782294,4
2334777,0
433740,0
5408155,0
5512473,4
37655,2
35612661,4
33976424,7
1844723,0
1805223,4
3737283,16
4355031,0
7859891,1
33359320,4
3717644,7
30329330,7
33501848,4
30875932,16
1144227,5
79736,2
5681259,0
2097548,2
35960283,0
32115576,2
35733405,0
4510713,16
1727594,2
430495,2
892387,4
33133980,16
1873101,16
31341522,4
512114,4
31503407,5
1846796,1
81131,0
33136953,0
59873,1
8217164,2
32874029,4
3547870,16
4807305,0
4033065,2
33502365,4
1945479,2
432823,0
32034248,4
3016181,2
30576479,4
35846945,4
2645484,7
1966954,16
33993304,0
2606540,16
32471821,4
2245553,2
31317175,0
3861544,4
34401606,0
35868660,2
3987626,16
35944234,16
31349711,0
5473114,5
34183061,4
36078780,1
4800325,2
1571217,0
3628519,0
7924218,2
39130,0
1668839,16
1625802,4
34513929,7
31079172,7
502669,2
1591685,0
34144033,0
36034341,0
1415489,1
2947007,0
34635662,4
4372606,4
1733154,1
35980047,7
2064511,16
34153242,2
32854316,4
1121097,0
35363582,0
33133090,5
8213794,1
36046189,5
2925865,2
1654866,4
1597534,0
32465471,16
1958149,0
32789964,4
3513410,0
33522261,4
1944531,4
2724404,16
34548562,0
31329730,7
4639335,2
32248030,4
426305,1
4280932,0
981153,16
2017254,7
35826518,7
7894332,1
3457275,4
34755530,5
33383470,7
403053,2
32523394,0
31688898,4
7949018,4
31448976,5
33179162,16
31797449,2
32376871,4
1713701,16
2144575,5
8068879,2
31866408,4
623128,0
31165930,7
3641194,1
30571175,2
1371291,0
314435,0
4706178,2
33810391,1
1476304,16
32744203,5
316789,0
30876307,16
35903913,1
31701434,4
622745,16
12040,4
34808768,5
1883644,7
987966,2
32931350,0
4322523,4
3607859,2
30206063,4
32781535,2
518610,7
2677290,16
1752765,5
1967099,16
2517629,1
538127,5
32377902,0
35485292,1
847269,0
28137,2
36106330,16
362171,1
30921325,2
1119831,0
527122,7
1531466,0
3962855,0
30905857,7
32807317,0
33062421,1
31548393,4
31322861,1
3026161,0
418257,0
875597,1
30816744,2
35617616,5
4136453,1
103871,0
432433,0
7869029,5
4071270,0
9627616,0
2998367,0
309603,4
35763747,4
36102915,16
34481137,0
1632692,0
1417772,2
5643998,0
533459,4
844273,0
4209693,0
32524097,1
2670150,4
35729106,2
419114,2
3611229,0
35848751,5
1373305,2
31668496,0
31966649,7
30970376,7
5211562,4
1734818,16
4478183,1
69002,0
90327,2
36108949,7
1529707,16
30241567,16
62617,0
32232695,7
492797,0
3617028,5
39037,0
34015795,0
33391713,0
1016831,0
33261024,7
1053579,0
31690901,7
1468957,16
30784116,0
1541413,16
35954533,0
35779182,7
847985,0
2937988,0
541449,1
35507061,16
30121891,0
30117857,0
275708,4
2728707,4
1266822,16
32695972,5
31562511,5
3546214,0
3580973,1
3853557,4
48223,16
33091608,7
836093,2
36071965,5
1872953,16
4756412,0
32587661,4
30794612,16
31803782,4
1774394,4
32808616,5
775137,0
38629,0
31367412,4
35754710,0
473136,0
30857318,2
90395,0
33609558,4
35100532,7
4197950,4
3995061,4
1500203,0
31004742,5
4503812,2
4136549,7
33302946,4
32544703,2
3944644,4
32056218,0
33259829,4
493235,4
31172278,2
31754369,4
5473112,4
30880667,2
30002079,16
34001805,0
1139376,2
5515510,0
1698085,0
34798738,7
35504734,2
318006,0
1673142,0
900582,7
32827688,16
32808352,4
30525591,0
1266830,16
447868,0
2710507,4
1872982,16
3591938,16
414608,7
30769470,0
33180622,16
30478311,7
35925671,4
60111,2
4305223,1
1785481,4
33743378,4
30714008,2
430985,2
8057052,7
2355658,4
52877,16
